,lat,lng
0,25.226027559116,110.05549941641
1,25.225935954398,110.05688199842
2,25.225904084765,110.05708241038
3,25.22585325677,110.05717260025
4,25.22585325677,110.05717260025
5,25.225830049125,110.05752329873
6,25.225785513314,110.0579942803
7,25.225740568902,110.05848538393
8,25.225728801635,110.05865579248
9,25.225718014972,110.05873601116
10,25.225706084268,110.05891639091
11,25.225591843635,110.06021965254
12,25.225580975243,110.06029987123
13,25.225660812958,110.06030993225
14,25.225660812958,110.06030993225
15,25.226940088655,110.06039077974
16,25.227349650123,110.06043102383
17,25.227999045705,110.06049147979
18,25.228608397349,110.06055193575
19,25.229187838297,110.06060224086
20,25.229397681686,110.0606223629
21,25.2299271097,110.06067275784
22,25.2299271097,110.06067275784
23,25.229891563981,110.06114400891
24,25.229879878835,110.06128432423
25,25.229959713695,110.06129438525
26,25.229959713695,110.06129438525
27,25.232796472564,110.0615759142
28,25.234004583363,110.06173653123
29,25.234902426123,110.06190711944
30,25.234972207214,110.06192715166
31,25.235111605854,110.06197736693
32,25.235320540089,110.06205758562
33,25.235400207916,110.06208767885
34,25.235499731343,110.06212783311
35,25.235678513779,110.06221802298
36,25.235986643212,110.06236848915
37,25.23630482218,110.0625088943
38,25.237099530531,110.06292013857
39,25.238767616569,110.06381269492
40,25.239450123866,110.06435428331
41,25.239963492956,110.06482571404
42,25.240426773382,110.06529714478
43,25.241075934926,110.06603941462
44,25.241907951449,110.06723335247
45,25.242597876132,110.06852772088
46,25.24309807722,110.06976199265
47,25.243335839504,110.07051477267
48,25.243552031193,110.07134777137
49,25.245842528017,110.08128554556
50,25.245963530791,110.08182749327
51,25.246148670518,110.08273082929
52,25.246340101101,110.08387491119
53,25.246438471628,110.08460756916
54,25.246500647642,110.08510927279
55,25.246637745231,110.0866144735
56,25.246701473497,110.08843048792
57,25.246696326215,110.08953387658
58,25.246639706101,110.09080776362
59,25.246522135535,110.09224181854
60,25.246357013648,110.09358541409
61,25.246185600386,110.09467811291
62,25.245985672406,110.09570047441
63,25.245105969004,110.09951773384
64,25.244807667447,110.10099975827
65,25.244600710604,110.10265147262
66,25.244558142651,110.10344207129
67,25.24453502032,110.10487280248
68,25.244574074996,110.10566304184
69,25.244693690075,110.10701301536
70,25.245005799897,110.1088023501
71,25.245481561557,110.11081078156
72,25.246566418555,110.11519451245
73,25.246856953983,110.11650199612
74,25.247057615837,110.11767940515
75,25.247223472083,110.11925566183
76,25.24727837617,110.12059225059
77,25.247313344831,110.12338418412
78,25.247360568848,110.12669336195
79,25.247424051623,110.1306888452
80,25.247424051623,110.1306888452
81,25.247438104433,110.13153558797
82,25.247458039813,110.13271102073
83,25.247483776056,110.13479284375
84,25.247483776056,110.13479284375
85,25.247318982301,110.13509179983
86,25.247221184413,110.13522133548
87,25.247102470578,110.13529113382
88,25.246952954708,110.13532104739
89,25.246722471136,110.13529131348
90,25.246672142158,110.13527146093
91,25.246550813286,110.13519178123
92,25.246469273679,110.13510222017
93,25.246417882455,110.13502254047
94,25.246376458988,110.13494286077
95,25.246333401445,110.13476364882
96,25.246331358866,110.13464408436
97,25.246407015945,110.13439507407
98,25.246485124068,110.13428539097
99,25.24657369012,110.13420571127
100,25.246742161526,110.13411597055
101,25.247031797799,110.13409584851
102,25.247212278837,110.13412567225
103,25.247212278837,110.13412567225
104,25.247696528791,110.13437441305
105,25.248583974882,110.13481215732
106,25.248583974882,110.13481215732
107,25.249310218237,110.13518019309
108,25.249653280706,110.13535922538
109,25.250057045757,110.13557814243
110,25.251480833704,110.13638392247
111,25.253128867406,110.13743844331
112,25.254647388063,110.13852287772
113,25.256056416236,110.13964728673
114,25.261524321664,110.14440408389
115,25.265202647142,110.1476290905
116,25.266265596621,110.14855506382
117,25.268096981276,110.15016815102
118,25.268905938089,110.15087529712
119,25.2715630488,110.15320631009
120,25.27195677454,110.15355503229
121,25.274015645057,110.15545863149
122,25.274338460989,110.15576764859
123,25.275891755466,110.157363129
124,25.277474435346,110.15916881291
125,25.278672866916,110.16066583904
126,25.279206243531,110.16138457328
127,25.280422545714,110.16311210461
128,25.281054828481,110.16408110676
129,25.281656396577,110.16508029198
130,25.282407106857,110.16636962988
131,25.283046403487,110.16754928467
132,25.283046403487,110.16754928467
133,25.283206084175,110.16784922888
134,25.283275837207,110.16798927471
135,25.283525036526,110.16846932917
136,25.283734131588,110.16887931581
137,25.283903367638,110.16920944308
138,25.284757630327,110.1709102049
139,25.285243280732,110.17188091384
140,25.287866216322,110.17708803156
141,25.288503523674,110.17839057454
142,25.288572211858,110.17852091867
143,25.28874846507,110.17888167817
144,25.288973640831,110.17933271736
145,25.289071486387,110.17953312932
146,25.290526174134,110.18248073919
147,25.291120262523,110.18368419908
148,25.291285731214,110.18401513483
149,25.291421715926,110.18430609599
150,25.291596984882,110.18464709276
151,25.291801002199,110.18506839804
152,25.291926940657,110.18534929818
153,25.29198492784,110.18548979316
154,25.29227412829,110.18622218164
155,25.29259705844,110.18735602285
156,25.292797480508,110.1886105065
157,25.292822553661,110.1889215897
158,25.292981976321,110.19141088409
159,25.293014399859,110.19186264193
160,25.293093702731,110.19308730184
161,25.293147524115,110.1940410328
162,25.293162306616,110.19434223463
163,25.293217843065,110.19518556385
164,25.293294205641,110.19597867778
165,25.293338798095,110.19628994064
166,25.293548937774,110.19744444288
167,25.293784395048,110.19828777209
168,25.294108382849,110.19922138101
169,25.294600202335,110.20029548491
170,25.29496886145,110.20096804624
171,25.295612746295,110.20193174839
172,25.296228533489,110.20279501999
173,25.29683508895,110.20362810852
